Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,20059.4520721372,23440.0053221856,30440.8548786229,33982.9504271591,36084.8589777475,40957.8304392487,49628.1151270179,42715.1322619629,51845.6548605562,62216.5471294133,67646.1038529626,67652.6832146189,61995.8296976,56327.7214484289,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,26351.3756769542,32102.9305523558,36693.4026205182,38242.0425174699,40430.993614499,46586.6502529235,51386.3766511975,47654.1872090808,46659.8408181344,51123.5613291663,48324.2540367606,50557.8038059874,51148.3588760796,43438.8630381343,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,763.101212220367,883.614008967961,1045.02641527642,1578.36733030667,2473.08577636837,3851.43786871172,5574.60380218613,4950.29479142375,5842.80578358576,7189.69122920765,7393.77187697623,7811.6214184582,7886.45914367274,5496.34464026248,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,22505.4047934793,22008.4337005989,21995.5199216219,23405.8795479327,23721.1562800587,24306.1424243044,23657.365306222,22043.0125711709,21920.5165867583,21514.8986531628,22112.6083547268,22315.6036533886,22217.4941392075,22896.9236868716,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,13279.0457951397,14541.6160485141,16275.1804236433,18418.0726743768,19669.3195545631,21167.6187062133,23043.0253174017,19166.7082382358,20386.0175551116,22238.7119502059,23063.1322870426,24378.9448284188,24855.2156350086,23395.7476902684,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,401.708153328187,434.046563233432,462.274879844841,485.852888073473,495.853780201055,543.082263122362,618.075883559283,683.614422272329,760.331935200195,838.547801702232,858.933362587621,954.396399715624,1086.80008676935,1211.70153057661,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,11674.9361829092,12028.8987405468,12869.3365947615,14223.7777039775,15646.815008726,16461.8292691759,16569.6049618665,16526.2545517227,15901.4329353355,15530.8942915589,15317.1390013495,15153.8213753482,15366.2926106288,15660.6794152314,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,1479.46532113219,1819.4790277163,2378.37489391196,3126.36777779462,3848.58620300891,4735.95688918873,6376.17311491284,5176.04470138203,5818.8548592158,6305.77366247653,6721.83490773968,7722.12335060436,8025.30435552468,5740.45649479562,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,25052.3302823,30743.9569254283,35589.7129457001,36967.2829204297,38852.3610339939,44403.8313061102,48424.5892730273,44880.5601517887,44382.8797683492,47699.8070518961,44734.4523465803,46622.4679873931,47299.8601085612,40231.2831740081,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,3556.61608225719,3679.79281542143,3831.60983030588,3933.2343731798,4187.23288999866,4324.83101711444,4470.22079597603,4258.84287648324,4344.13666906088,4516.23303047149,4673.55519784264,4723.59432062825,4884.3686203818,4906.9406908683,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,411.959075281789,509.461088697817,570.685501333771,587.080212422838,609.018608681583,685.551675107742,794.870176064085,768.013476447657,732.953622726674,799.03555913143,807.688451017232,882.638633279988,903.464924007693,779.067867757338,..
