Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Dominica,DMA,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Dominican Republic,DOM,18.609825,30.8307083333333,42.0988301665956,30.5106378911453,33.2536924626259,33.3118619354217,34.8661016299082,36.1140522203929,37.3065789878104,38.2315587481963,39.3356563644234,41.8081439152765,43.5559626980453,45.0516976883978,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Egypt, Arab Rep.",EGY,4.49966666666667,5.850875,6.19624166666667,5.77883333333333,5.73316666666667,5.63543333333333,5.4325,5.54455330862978,5.62194291761051,5.93282765151515,6.05605833333333,6.870325,7.07760856060606,7.69125833333333,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,El Salvador,SLV,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Equatorial Guinea,GNQ,696.988203611667,581.200313864167,528.284809305,527.46814284,522.890109610833,479.2667825875,447.805255560773,472.186290754893,495.277021572396,471.8661140917,510.52713590197,494.04003744699,494.414952864937,591.449507501328,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Eritrea,ERI,13.9581941666667,13.8778905833333,13.7875,15.3679166666667,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Estonia,EST,16.6117916666667,13.8564114045105,12.5955635879843,12.5837865859395,12.4654837577722,11.4338529961624,10.6944430938413,11.2574308850767,11.8068482348947,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Ethiopia,ETH,8.56775,8.59968333333333,8.63558333333333,8.66644166666667,8.69861583333333,8.96595,9.59974166666667,11.7775996725,14.4095898080066,16.8992257595275,17.7047613782674,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Fiji,FJI,2.18669166666667,1.8956,1.73295,1.69096666666667,1.73118333333333,1.61028333333333,1.59370833333333,1.95570833333333,1.91830833333333,1.79319425769221,1.78989392210949,1.84138798551231,1.88734972339858,2.09762323263693,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Gabon,GAB,696.988203611667,581.200313864167,528.284809305,527.46814284,522.890109610833,479.2667825875,447.805255560773,472.186290754893,495.277021572396,471.8661140917,510.52713590197,494.04003744699,494.414952864937,591.449507501328,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Gambia, The",GMB,19.917825,28.5305083333333,30.0300833333333,28.5754333333333,28.065725,24.8734333333333,22.19235,26.6443612042313,28.0119536626841,29.4615200601576,32.0771338886217,35.9575868341651,41.7329616505126,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Georgia,GEO,2.195675,2.14565,1.91665,1.812675,1.78043333333333,1.67049166666667,1.49079166666667,1.67048709677419,1.78234166666667,1.68649543010753,1.65125833333333,1.66335,1.76566666666667,2.26934166666667,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
